epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,380.215,0.31467,0.56701,0.84538,0.99395,1,0.995,0.95899,0.3161,0.61012,0.84039,0.000638047,0.000638047,0.000638047
45,389.155,0.30997,0.56655,0.82576,0.99163,1,0.995,0.9579,0.29728,0.59602,0.84154,0.000627048,0.000627048,0.000627048
46,397.365,0.28937,0.54784,0.83154,0.99163,1,0.995,0.9579,0.29728,0.59602,0.84154,0.000616049,0.000616049,0.000616049
47,406.243,0.30298,0.57015,0.84135,0.99306,1,0.995,0.96492,0.29543,0.59928,0.84755,0.000605051,0.000605051,0.000605051
48,415.71,0.3045,0.55637,0.84295,0.99413,1,0.995,0.96376,0.29351,0.60021,0.84474,0.000594052,0.000594052,0.000594052
49,423.967,0.29138,0.5824,0.85133,0.99477,1,0.995,0.97214,0.29381,0.59986,0.84338,0.000583053,0.000583053,0.000583053
50,432.363,0.29627,0.56898,0.83931,0.99487,1,0.995,0.97095,0.29919,0.5837,0.84492,0.000572054,0.000572054,0.000572054
51,441.613,0.28142,0.51208,0.81182,0.99481,1,0.995,0.97021,0.295,0.5606,0.84094,0.000561055,0.000561055,0.000561055
52,451.403,0.28069,0.52001,0.82834,0.9946,1,0.995,0.96681,0.28864,0.543,0.83881,0.000550056,0.000550056,0.000550056
53,460.997,0.27099,0.51949,0.82965,0.99406,1,0.995,0.96238,0.3072,0.54099,0.84863,0.000539057,0.000539057,0.000539057
54,469.752,0.30148,0.51601,0.82237,0.99406,1,0.995,0.96238,0.3072,0.54099,0.84863,0.000528058,0.000528058,0.000528058
55,478.627,0.28115,0.50356,0.8302,0.9938,1,0.995,0.9537,0.31576,0.54459,0.85637,0.000517059,0.000517059,0.000517059
56,487.363,0.29211,0.48981,0.82063,0.99397,1,0.995,0.96314,0.30004,0.53318,0.84781,0.00050606,0.00050606,0.00050606
57,495.764,0.28956,0.49762,0.83085,0.9945,1,0.995,0.96699,0.29491,0.52228,0.84664,0.000495062,0.000495062,0.000495062
58,505.263,0.27911,0.53792,0.83364,0.99452,1,0.995,0.95763,0.30034,0.51367,0.8491,0.000484063,0.000484063,0.000484063
59,514.559,0.27784,0.48536,0.83622,0.99318,1,0.995,0.95372,0.28986,0.51389,0.84284,0.000473064,0.000473064,0.000473064
60,523.438,0.28271,0.54468,0.84211,0.99359,1,0.995,0.95634,0.27715,0.50945,0.83639,0.000462065,0.000462065,0.000462065
61,532.358,0.29446,0.53631,0.84855,0.99504,1,0.995,0.95709,0.28316,0.49911,0.84127,0.000451066,0.000451066,0.000451066
62,540.765,0.26878,0.50586,0.84382,0.99504,1,0.995,0.95709,0.28316,0.49911,0.84127,0.000440067,0.000440067,0.000440067
63,549.054,0.28595,0.48036,0.84515,0.99555,1,0.995,0.9675,0.28073,0.48803,0.8382,0.000429068,0.000429068,0.000429068
64,557.497,0.27162,0.47395,0.81312,0.99536,1,0.995,0.96531,0.28082,0.48573,0.83876,0.000418069,0.000418069,0.000418069
65,566.167,0.27561,0.50029,0.83416,0.99505,1,0.995,0.96827,0.27673,0.49292,0.83823,0.00040707,0.00040707,0.00040707
66,574.348,0.28051,0.50251,0.84197,0.99447,1,0.995,0.96112,0.27788,0.50628,0.8397,0.000396071,0.000396071,0.000396071
67,582.841,0.26467,0.47272,0.80482,0.99427,1,0.995,0.96,0.29717,0.51193,0.85144,0.000385073,0.000385073,0.000385073
68,591.697,0.278,0.47664,0.83298,0.99457,1,0.995,0.95358,0.29219,0.50302,0.84712,0.000374074,0.000374074,0.000374074
69,600.14,0.27813,0.462,0.8422,0.99494,1,0.995,0.96142,0.27987,0.49588,0.83887,0.000363075,0.000363075,0.000363075
70,608.636,0.25094,0.4561,0.83073,0.99494,1,0.995,0.96142,0.27987,0.49588,0.83887,0.000352076,0.000352076,0.000352076
71,617.182,0.28478,0.48182,0.82813,0.99517,1,0.995,0.96607,0.27687,0.48385,0.83803,0.000341077,0.000341077,0.000341077
72,625.713,0.26632,0.47804,0.83915,0.99538,1,0.995,0.9685,0.27457,0.47823,0.83749,0.000330078,0.000330078,0.000330078
73,634.455,0.27253,0.48482,0.82633,0.99514,1,0.995,0.96822,0.26924,0.47354,0.83717,0.000319079,0.000319079,0.000319079
74,642.711,0.25163,0.43232,0.82659,0.99523,1,0.995,0.9658,0.27404,0.47315,0.83943,0.00030808,0.00030808,0.00030808
75,651.156,0.24324,0.47723,0.8489,0.99542,1,0.995,0.96464,0.27582,0.46899,0.83707,0.000297081,0.000297081,0.000297081
76,659.431,0.24431,0.43791,0.80185,0.99548,1,0.995,0.9656,0.27487,0.46172,0.83569,0.000286083,0.000286083,0.000286083
77,667.653,0.25143,0.46113,0.83429,0.99526,1,0.995,0.97105,0.271,0.46253,0.83573,0.000275084,0.000275084,0.000275084
78,675.874,0.24112,0.42128,0.81323,0.99526,1,0.995,0.97105,0.271,0.46253,0.83573,0.000264085,0.000264085,0.000264085
79,683.937,0.25032,0.44519,0.8299,0.99519,1,0.995,0.96607,0.26466,0.46325,0.8348,0.000253086,0.000253086,0.000253086
80,692.244,0.24981,0.42064,0.82742,0.99531,1,0.995,0.96483,0.26095,0.46007,0.83496,0.000242087,0.000242087,0.000242087
81,700.615,0.23726,0.42757,0.82057,0.99525,1,0.995,0.96743,0.2639,0.4575,0.83591,0.000231088,0.000231088,0.000231088
82,708.952,0.24915,0.41742,0.805,0.99532,1,0.995,0.97086,0.26558,0.45237,0.83557,0.000220089,0.000220089,0.000220089
83,717.245,0.27487,0.42411,0.8356,0.99544,1,0.995,0.96645,0.27032,0.44942,0.83553,0.00020909,0.00020909,0.00020909
84,725.585,0.25773,0.41285,0.82082,0.99571,1,0.995,0.96756,0.27468,0.4468,0.83643,0.000198091,0.000198091,0.000198091
85,734.009,0.24541,0.45636,0.8302,0.99571,1,0.995,0.9646,0.27687,0.44282,0.83682,0.000187092,0.000187092,0.000187092
86,742.041,0.23133,0.41207,0.81734,0.99571,1,0.995,0.9646,0.27687,0.44282,0.83682,0.000176094,0.000176094,0.000176094
87,750.283,0.25591,0.43518,0.83099,0.99573,1,0.995,0.96495,0.27676,0.44161,0.83693,0.000165095,0.000165095,0.000165095
88,758.492,0.24714,0.41821,0.82706,0.99572,1,0.995,0.96374,0.27197,0.44119,0.83603,0.000154096,0.000154096,0.000154096
89,766.859,0.25508,0.44918,0.82069,0.99568,1,0.995,0.96423,0.26647,0.43573,0.83495,0.000143097,0.000143097,0.000143097
90,776.832,0.23491,0.42731,0.82783,0.99557,1,0.995,0.9683,0.26409,0.4302,0.83458,0.000132098,0.000132098,0.000132098
91,786.114,0.2338,0.53034,0.79211,0.99559,1,0.995,0.9667,0.26294,0.43061,0.83413,0.000121099,0.000121099,0.000121099
92,794.203,0.23823,0.51859,0.78926,0.99548,1,0.995,0.96388,0.26574,0.44836,0.83464,0.0001101,0.0001101,0.0001101
93,802.373,0.22848,0.51099,0.81319,0.99498,1,0.995,0.96348,0.26961,0.46846,0.83538,9.91012e-05,9.91012e-05,9.91012e-05
94,809.948,0.21996,0.52367,0.78364,0.99498,1,0.995,0.96348,0.26961,0.46846,0.83538,8.81023e-05,8.81023e-05,8.81023e-05
95,818.011,0.22108,0.52108,0.80759,0.9949,1,0.995,0.96645,0.27131,0.47808,0.83548,7.71034e-05,7.71034e-05,7.71034e-05
96,826.099,0.21936,0.53018,0.80995,0.99491,1,0.995,0.96924,0.27061,0.47766,0.83468,6.61045e-05,6.61045e-05,6.61045e-05
97,833.994,0.21923,0.51977,0.79246,0.99471,1,0.995,0.97107,0.26942,0.4723,0.83423,5.51056e-05,5.51056e-05,5.51056e-05
98,841.915,0.22627,0.5172,0.78058,0.99471,1,0.995,0.97028,0.26816,0.4611,0.83357,4.41067e-05,4.41067e-05,4.41067e-05
99,849.676,0.24355,0.51707,0.82328,0.99484,1,0.995,0.97008,0.26766,0.45058,0.8333,3.31078e-05,3.31078e-05,3.31078e-05
100,857.433,0.21411,0.49578,0.80951,0.9946,1,0.995,0.96809,0.26523,0.44534,0.83275,2.21089e-05,2.21089e-05,2.21089e-05
